Lp.;Nr_umowy;Data.poczatku.okresu.ubezpieczenia;Data.konca.okresu.ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
15951;M13051244803;27.03.2021;26.03.2022;420000;TAK;Wspólna 14/2;80-209;Nowy Tuchom;pomorskie;Polska;1,2;NA
15952;M13051254503;15.03.2021;14.03.2022;298000;TAK;Rakowska 14a;02-237;Warszawa;mazowieckie;Polska;1,2;NA
15953;M13051260203;11.04.2021;10.04.2022;130000;TAK;Szymona Askenazego 5;03-580;Warszawa;mazowieckie;Polska;1,2;NA
15954;M13051260303;01.04.2021;31.03.2022;465000;TAK;Józefa Chełmońskiego 8;02-495;Warszawa;mazowieckie;Polska;1,2;NA
15955;M13051360803;16.03.2021;15.03.2022;175000;TAK;Prałatowska 4;03-510;Warszawa;mazowieckie;Polska;1,2;NA
15956;M13051382503;21.03.2021;20.03.2022;5,00E+05;TAK;Folwarczna 3173/32;26-200;Końskie;świętokrzyskie;Polska;1,2;NA
15957;M13051451703;15.03.2021;14.03.2022;215000;TAK;Strzelców Bytomskich 155;41-914;Bytom;śląskie;Polska;1,2;NA
15958;M13051467503;03.06.2021;02.06.2022;375000;TAK;Sportowa 32;19-500;Gołdap;warmińsko-mazurskie;Polska;1,2;NA
15959;M13051468603;20.04.2021;19.04.2022;180000;TAK;Bolesława Krupińskiego 85;59-300;Lubin;dolnośląskie;Polska;1,2;NA
15960;M13051468703;20.04.2021;19.04.2022;120000;TAK;Tysiąclecia 19;59-300;Lubin;dolnośląskie;Polska;1,2;NA
15961;M13051468803;09.05.2021;08.05.2022;250000;TAK;Osowska 88;04-351;Warszawa;mazowieckie;Polska;1,2;NA
15962;M13051680603;22.03.2021;21.03.2022;345000;TAK;Łabędzia 12;89-606;Charzykowy;pomorskie;Polska;1,2;NA
15963;M13051683203;21.03.2021;20.03.2022;650000;TAK;Dolna 9;05-090;Raszyn;mazowieckie;Polska;1,2;NA
15964;M13051716403;22.03.2021;21.03.2022;390000;TAK;Jaśminowa 18A;76-200;Słupsk;pomorskie;Polska;1,2;NA
15965;M13051877403;03.04.2021;02.04.2022;5,00E+05;TAK;Włókiennicza 43a/2;04-974;Warszawa;mazowieckie;Polska;1,2;NA
15966;M13051880703;11.04.2021;10.04.2022;170000;TAK;Bielska 71;43-100;Tychy;śląskie;Polska;1,2;NA
15967;M13051880803;16.03.2021;15.03.2022;349000;TAK;Powstańców Warszawy 2E;61-656;Poznań;wielkopolskie;Polska;1,2;NA
15968;M13051882503;20.03.2021;19.03.2022;410000;TAK;Jaszowiecka 7;02-934;Warszawa;mazowieckie;Polska;1,2;NA
15969;M13051884703;17.03.2021;16.03.2022;1,00E+05;TAK;Aleja 3 Maja 29;05-120;Legionowo;mazowieckie;Polska;1,2;NA
15970;M13051891203;15.03.2021;14.03.2022;205000;TAK;Zawoja 1773a;34-222;Zawoja;małopolskie;Polska;1,2;NA
15971;M13051891303;15.03.2021;14.03.2022;205000;TAK;Zawoja 1773b;34-222;Zawoja;małopolskie;Polska;1,2;NA
15972;M13051893903;07.06.2021;06.06.2022;3,00E+05;TAK;Emilii Plater 23;46-100;Namysłów;opolskie;Polska;1,2;NA
15973;M13051897103;15.03.2021;14.03.2022;7,00E+05;TAK;Bolesława Prusa 10;81-198;Pogórze;pomorskie;Polska;1,2;NA
15974;M13051903503;01.04.2021;31.03.2022;610000;TAK;Kujawska 7;62-025;Kostrzyn;wielkopolskie;Polska;1,2;NA
15975;M13052736503;15.03.2021;14.03.2022;375000;TAK;Rzemieślnicza 44;64-980;Trzcianka;wielkopolskie;Polska;1,2;NA
15976;M13052785503;15.03.2021;14.03.2022;265000;TAK;Wesoła 8;16-315;Lipsk;podlaskie;Polska;1,2;NA
15977;M13052825803;24.03.2021;23.03.2022;530000;TAK;Spacerowa 3;16-310;Sztabin;podlaskie;Polska;1,2;NA
15978;M13052869703;18.03.2021;17.03.2022;275000;TAK;Mamlicz 48;88-190;Mamlicz;kujawsko-pomorskie;Polska;1,2;NA
15979;M13055002603;15.03.2021;14.03.2022;160000;TAK;Furmańska 9/11;20-122;Lublin;lubelskie;Polska;1,2;NA
15980;M1305545709;01.10.2021;30.09.2022;340000;TAK;Adama Mickiewicza 26;70-383;Szczecin;zachodniopomorskie;Polska;1,2;NA
15981;M13055772603;15.03.2021;14.03.2022;280000;TAK;Narcyzowa 7;84-242;Kębłowo;pomorskie;Polska;1,2;NA
15982;M13055798203;15.03.2021;14.03.2022;183363;TAK;Eugeniusza Kwiatkowskiego 6;71-004;Szczecin;zachodniopomorskie;Polska;1,2;NA
15983;M13056906703;15.03.2021;14.03.2022;260000;TAK;Jana Kiepury 18;58-506;Jelenia Góra;dolnośląskie;Polska;1,2;NA
15984;M13057053203;15.03.2021;14.03.2022;250000;TAK;Ostoje 207;63-930;Ostoje;wielkopolskie;Polska;1,2;NA
15985;M1305770009;30.08.2021;29.08.2022;240000;TAK;Prosta 39;25-371;Kielce;świętokrzyskie;Polska;1,2;NA
15986;M1305770409;01.09.2021;31.08.2022;390000;TAK;Jana Olbrachta 7;01-111;Warszawa;mazowieckie;Polska;1,2;NA
15987;M1305773809;30.08.2021;29.08.2022;160000;TAK;Konstantego Ildefonsa Gałczyńskiego 24;59-220;Legnica;dolnośląskie;Polska;1,2;NA
15988;M1305774809;31.08.2021;30.08.2022;340000;TAK;Przechodnia 2;00-100;Warszawa;mazowieckie;Polska;1,2;NA
15989;M13057847703;17.03.2021;16.03.2022;430000;TAK;Nadmeńska 57;05-230;Kobyłka;mazowieckie;Polska;1,2;NA
15990;M1305822009;23.09.2021;22.09.2022;368000;TAK;Wiśnicka 61;32-700;Bochnia;małopolskie;Polska;1,2;NA
15991;M13059084203;26.04.2021;25.04.2022;1550000;TAK;Akacjowa 5;87-811;Szpetal Górny;kujawsko-pomorskie;Polska;1,2;NA
15992;M1305928409;20.08.2021;19.08.2022;250000;TAK;Ignacego Mystkowskiego 16A;07-300;Ostrów Mazowiecka;mazowieckie;Polska;1,2;NA
15993;M1305929609;18.08.2021;17.08.2022;3,00E+05;TAK;Garncarska 4;44-240;Żory;śląskie;Polska;1,2;NA
15994;M13059526403;01.04.2021;31.03.2022;140000;TAK;Stefana Starzyńskiego 47;59-700;Bolesławiec;dolnośląskie;Polska;1,2;NA
15995;M13059531003;24.05.2021;23.05.2022;410000;TAK;Jolanty 1;72-006;Mierzyn;zachodniopomorskie;Polska;1,2;NA
15996;M13059532203;15.03.2021;14.03.2022;260000;TAK;Łączna 6;87-500;Rypin;kujawsko-pomorskie;Polska;1,2;NA
15997;M13059537103;19.03.2021;18.03.2022;1,00E+05;TAK;Koronna 3c;62-069;Dąbrówka;wielkopolskie;Polska;1,2;NA
15998;M13059539103;06.09.2021;05.09.2022;430000;TAK;Niałek Wielki 93;64-200;Niałek Wielki;wielkopolskie;Polska;1,2;NA
15999;M13059544803;19.04.2021;18.04.2022;180000;TAK;Michała Kleofasa Ogińskiego 71;66-400;Gorzów Wielkopolski;lubuskie;Polska;1,2;NA
16000;M1305960509;23.09.2021;22.09.2022;325000;TAK;Czarnowiejska 77;30-149;Kraków;małopolskie;Polska;1,2;NA
16001;M13059730203;18.03.2021;17.03.2022;910000;TAK;Nowowiejskiego 11;62-050;Mosina;wielkopolskie;Polska;1,2;NA
16002;M13059736003;28.04.2021;27.04.2022;330000;TAK;Marii Skłodowskiej 51;22-600;Tomaszów Lubelski;lubelskie;Polska;1,2;NA
16003;M13059745703;24.03.2021;23.03.2022;270000;TAK;Jana III Sobieskiego 22;60-688;Poznań;wielkopolskie;Polska;1,2;NA
16004;M13059746903;29.03.2021;28.03.2022;380000;TAK;Kasztanowa 26/2;62-051;Wiry;wielkopolskie;Polska;1,2;NA
16005;M13059754003;16.04.2021;15.04.2022;515000;TAK;Różana 38a;05-074;Kazimierów;mazowieckie;Polska;1,2;NA
16006;M1306017109;28.09.2021;27.09.2022;790000;TAK;1 Sierpnia 36b;02-134;Warszawa;mazowieckie;Polska;1,2;NA
16007;M1306192809;24.09.2021;23.09.2022;190000;TAK;Romera 65;71-246;Szczecin;zachodniopomorskie;Polska;1,2;NA
16008;M1306199109;25.09.2021;24.09.2022;151000;TAK;Ku Wiatrakom 13;85-856;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
16009;M1306203509;24.09.2021;23.09.2022;350000;TAK;Nowodworska 87;54-438;Wrocław;dolnośląskie;Polska;1,2;NA
16010;M1306204409;25.09.2021;24.09.2022;185000;TAK;Al. Piastów 8b;44-193;Knurów;śląskie;Polska;1,2;NA
16011;M1306204609;25.09.2021;24.09.2022;220000;TAK;Paderewskiego 6c;80-169;Gdańsk;pomorskie;Polska;1,2;NA
16012;M13062113803;15.03.2021;14.03.2022;4,00E+05;TAK;Stara Dąbrowa 84;73-112;Stara Dąbrowa;zachodniopomorskie;Polska;1,2;NA
16013;M1306223609;25.09.2021;24.09.2022;290000;TAK;Słomiana 19;30-316;Kraków;małopolskie;Polska;1,2;NA
16014;M13062790403;19.05.2021;18.05.2022;370000;TAK;Elizy Orzeszkowej 138;42-100;Kłobuck;śląskie;Polska;1,2;NA
16015;M13062798403;20.03.2021;19.03.2022;420000;TAK;Jutrzenki 18;34-312;Międzybrodzie Bialskie;śląskie;Polska;1,2;NA
16016;M13062800703;15.06.2021;14.06.2022;6,00E+05;TAK;Majowa 9;05-090;Wypędy;mazowieckie;Polska;1,2;NA
16017;M13062801703;20.03.2021;19.03.2022;825000;TAK;Ziołowa 2;55-120;Uraz;dolnośląskie;Polska;1,2;NA
16018;M13062812003;20.03.2021;19.03.2022;170000;TAK;Henryka Sienkiewicza 58;82-200;Malbork;pomorskie;Polska;1,2;NA
16019;M13062814303;19.03.2021;18.03.2022;210000;TAK;Suwalska 4;03-252;Warszawa;mazowieckie;Polska;1,2;NA
16020;M13062964103;16.03.2021;15.03.2022;360000;TAK;Nadmorski Dwór 1b;80-506;Gdańsk;pomorskie;Polska;1,2;NA
16021;M13063110503;19.03.2021;18.03.2022;230000;TAK;gen. Tadeusza Kutrzeby 6;62-010;Pobiedziska;wielkopolskie;Polska;1,2;NA
16022;M13063197703;24.03.2021;23.03.2022;510000;TAK;Tulipanowa 16;05-091;Ząbki;mazowieckie;Polska;1,2;NA
16023;M13063198903;25.04.2021;24.04.2022;230000;TAK;Palisadowa 85;58-316;Wałbrzych;dolnośląskie;Polska;1,2;NA
16024;M13063260303;01.04.2021;31.03.2022;270000;TAK;Stanisława Nowakowskiego 37;23-400;Biłgoraj;lubelskie;Polska;1,2;NA
16025;M13063268203;21.03.2021;20.03.2022;210000;TAK;Wejherowska 51;81-049;Gdynia;pomorskie;Polska;1,2;NA
16026;M1306328609;18.10.2021;17.10.2022;370000;TAK;Szarych Szeregów 4;85-829;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
16027;M1306354709;25.09.2021;24.09.2022;360000;TAK;Magiera Antoniego 19;01-856;Warszawa;mazowieckie;Polska;1,2;NA
16028;M13063615603;15.03.2021;14.03.2022;345000;TAK;Anastazego Kowalczyka 1b;03-193;Warszawa;mazowieckie;Polska;1,2;NA
16029;M1306385409;18.08.2021;17.08.2022;420000;TAK;Olimpijska 7;05-600;Grójec;mazowieckie;Polska;1,2;NA
16030;M13064202203;15.03.2021;14.03.2022;520000;TAK;Konopnickiej 43;05-074;Halinów;mazowieckie;Polska;1,2;NA
16031;M13064206903;16.03.2021;15.03.2022;130000;TAK;Aleja Wilanowska 9A;02-765;Warszawa;mazowieckie;Polska;1,2;NA
16032;M13064207303;22.03.2021;21.03.2022;520000;TAK;Kazubów 6A;01-466;Warszawa;mazowieckie;Polska;1,2;NA
16033;M13064210503;08.04.2021;07.04.2022;155000;TAK;Karlińska 7b;78-400;Szczecinek;zachodniopomorskie;Polska;1,2;NA
16034;M13064212103;01.04.2021;31.03.2022;185000;TAK;Ks. kard. Augusta Hlonda 2a;41-400;Mysłowice;śląskie;Polska;1,2;NA
16035;M13064217903;08.09.2021;07.09.2022;110000;TAK;Zwycięzców 23C;68-200;Żary;lubuskie;Polska;1,2;NA
16036;M13064226303;28.03.2021;27.03.2022;369000;TAK;Na Stoku 16;43-190;Mikołów;śląskie;Polska;1,2;NA
16037;M1306446609;01.09.2021;31.08.2022;390000;TAK;Antoniego Magiera 7;01-873;Warszawa;mazowieckie;Polska;1,2;NA
16038;M1306501109;25.09.2021;24.09.2022;155000;TAK;Poniatowskiego 4;72-200;Nowogard;zachodniopomorskie;Polska;1,2;NA
16039;M13065324503;16.03.2021;15.03.2022;240000;TAK;Na Wzgórzach 13;31-722;Kraków;małopolskie;Polska;1,2;NA
16040;M13065504103;15.03.2021;14.03.2022;430000;TAK;Fasolowa 49;02-482;Warszawa;mazowieckie;Polska;1,2;NA
16041;M13065587803;22.03.2021;21.03.2022;279000;TAK;Ożarowska 79B;05-850;Duchnice;mazowieckie;Polska;1,2;NA
16042;M1306610009;31.08.2021;30.08.2022;420000;TAK;Piastowska 5;41-600;Świętochłowice;śląskie;Polska;1,2;NA
16043;M13067956703;16.03.2021;15.03.2022;430000;TAK;Marii Daniec 10;20-388;Mętów;lubelskie;Polska;1,2;NA
16044;M13069061203;29.03.2021;28.03.2022;1,00E+05;TAK;Wiejska 5A;14-500;Braniewo;warmińsko-mazurskie;Polska;1,2;NA
16045;M1306920509;25.08.2021;24.08.2022;950000;TAK;Batalionów Chłopskich 24C;96-500;Sochaczew;mazowieckie;Polska;1,2;NA
16046;M13069523703;16.03.2021;15.03.2022;5,00E+05;TAK;Wypoczynkowa 28;80-341;Gdańsk;pomorskie;Polska;1,2;NA
16047;M13070091203;16.03.2021;15.03.2022;320000;TAK;Sól 68B;34-370;Sól;śląskie;Polska;1,2;NA
16048;M1307012309;21.09.2021;20.09.2022;135000;TAK;Długa 1;58-500;Jelenia Góra;dolnośląskie;Polska;1,2;NA
16049;M1307016809;26.09.2021;25.09.2022;220000;TAK;Grzybowska 9;00-132;Warszawa;mazowieckie;Polska;1,2;NA
16050;M1307017209;26.09.2021;25.09.2022;220000;TAK;Biała Wielka 106;42-235;Biała Wielka;śląskie;Polska;1,2;NA
16051;M1307018809;27.09.2021;26.09.2022;250000;TAK;Grzymińska 31;71-711;Szczecin;zachodniopomorskie;Polska;1,2;NA
16052;M1307019009;15.10.2021;14.10.2022;420000;TAK;Kokotów 233;32-002;Węgrzce Wielkie;małopolskie;Polska;1,2;NA
16053;M1307028709;18.09.2021;17.09.2022;1,00E+05;TAK;Zwycięstwa 14;72-410;Golczewo;zachodniopomorskie;Polska;1,2;NA
16054;M1307038909;01.09.2021;31.08.2022;290000;TAK;Gdańska 11a;40-719;Katowice;śląskie;Polska;1,2;NA
16055;M13070415303;10.04.2021;09.04.2022;265000;TAK;Piastów 10ł;66-600;Krosno Odrzańskie;lubuskie;Polska;1,2;NA
16056;M13070416003;15.04.2021;14.04.2022;150000;TAK;22 Lipca 34d;67-120;Kożuchów;lubuskie;Polska;1,2;NA
16057;M13070424103;19.03.2021;18.03.2022;325000;TAK;Wrzesina 1;11-042;Wrzesina;warmińsko-mazurskie;Polska;1,2;NA
16058;M13070433203;16.03.2021;15.03.2022;150000;TAK;Wolności 10;69-108;Rąpice;lubuskie;Polska;1,2;NA
16059;M1307103009;16.09.2021;15.09.2022;117000;TAK;6 Sierpnia 39;90-617;Łódź;łódzkie;Polska;1,2;NA
16060;M1307144509;26.09.2021;25.09.2022;115000;TAK;Polna 1 A;82-500;Kwidzyn;pomorskie;Polska;1,2;NA
16061;M13071935303;17.03.2021;16.03.2022;230000;TAK;Parkowa 14;84-239;Bolszewo;pomorskie;Polska;1,2;NA
16062;M13072014503;18.03.2021;17.03.2022;165000;TAK;Hanki Ordonówny 19C;03-139;Warszawa;mazowieckie;Polska;1,2;NA
16063;M13072016503;16.03.2021;15.03.2022;410000;TAK;Osiek 18E;32-300;Osiek;małopolskie;Polska;1,2;NA
16064;M13072331303;16.04.2021;15.04.2022;3,00E+05;TAK;Migdałowa 302;41-300;Dąbrowa Górnicza;śląskie;Polska;1,2;NA
16065;M13072331603;16.03.2021;15.03.2022;130000;TAK;Fordońska 112;85-739;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
16066;M13072335203;16.03.2021;15.03.2022;345000;TAK;prof. Jana Kozłowskiego 1;62-064;Plewiska;wielkopolskie;Polska;1,2;NA
16067;M13072338303;15.03.2021;14.03.2022;3,00E+05;TAK;Obywatelska 13;02-409;Warszawa;mazowieckie;Polska;1,2;NA
16068;M13072338803;20.03.2021;19.03.2022;280000;TAK;Krzysztofa Kamila Baczyńskiego 4b;81-597;Gdynia;pomorskie;Polska;1,2;NA
16069;M13072346703;03.04.2021;02.04.2022;310000;TAK;Zawilca 28;05-092;Łomianki;mazowieckie;Polska;1,2;NA
16070;M13072348203;17.03.2021;16.03.2022;150000;TAK;Antoniego Dobiszewskiego 2;01-405;Warszawa;mazowieckie;Polska;1,2;NA
16071;M13072354403;19.03.2021;18.03.2022;210000;TAK;Bonin 16b;76-009;Bonin;zachodniopomorskie;Polska;1,2;NA
16072;M1307266809;26.09.2021;25.09.2022;405000;TAK;Rozłogi 19;80-625;Gdańsk;pomorskie;Polska;1,2;NA
16073;M1307268409;24.08.2021;23.08.2022;505000;TAK;Al. Ken 11;02-797;Warszawa;mazowieckie;Polska;1,2;NA
16074;M13072687103;16.03.2021;15.03.2022;1,00E+06;TAK;Topolowa dz22/4;05-102;Nowy Dwór Mazowiecki;mazowieckie;Polska;1,2;NA
16075;M13072804203;23.03.2021;22.03.2022;880000;TAK;Konwaliowa 6;62-002;Złotniki;wielkopolskie;Polska;1,2;NA
16076;M13072808503;01.04.2021;31.03.2022;280000;TAK;Inwestycyjna 32;66-016;Łężyca;lubuskie;Polska;1,2;NA
16077;M13073033703;13.04.2021;12.04.2022;465000;TAK;Jana Olbrachta 23B;01-102;Warszawa;mazowieckie;Polska;1,2;NA
16078;M13073220503;16.03.2021;15.03.2022;280000;TAK;Gołębiew Nowy 57;99-300;Gołębiew Nowy;łódzkie;Polska;1,2;NA
16079;M1307344609;01.09.2021;31.08.2022;370000;TAK;Lajkonika 14;94-119;Łódź;łódzkie;Polska;1,2;NA
16080;M13073674303;29.03.2021;28.03.2022;510000;TAK;Poranna 1a;05-250;Cegielnia;mazowieckie;Polska;1,2;NA
16081;M13074149503;16.03.2021;15.03.2022;209200;TAK;Spółdzielcza 6;82-500;Kwidzyn;pomorskie;Polska;1,2;NA
16082;M1307440609;12.09.2021;11.09.2022;2,00E+05;TAK;Obrońców Wybrzeża 10a;80-398;Gdańsk;pomorskie;Polska;1,2;NA
16083;M13074957503;04.04.2021;03.04.2022;305000;TAK;Burkat 56K;13-200;Burkat;warmińsko-mazurskie;Polska;1,2;NA
16084;M13075056103;17.03.2021;16.03.2022;650000;TAK;Tadeusza Rejtana 4;08-110;Siedlce;mazowieckie;Polska;1,2;NA
16085;M13075210603;17.03.2021;16.03.2022;210000;TAK;Jedności Narodowej 41;72-130;Maszewo;zachodniopomorskie;Polska;1,2;NA
16086;M13075640303;16.03.2021;15.03.2022;170000;TAK;Bartosza Głowackiego 8;85-614;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
16087;M13075653103;17.03.2021;16.03.2022;220000;TAK;Feliksa Nowowiejskiego 7;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;NA
16088;M13075659603;01.07.2021;30.06.2022;415000;TAK;Dąbrowa 124;33-311;Dąbrowa;małopolskie;Polska;1,2;NA
16089;M13076302703;02.04.2021;01.04.2022;180000;TAK;Melanowo 3;63-910;Melanowo;wielkopolskie;Polska;1,2;NA
16090;M1307652309;22.09.2021;21.09.2022;2,00E+05;TAK;Obrońców Pokoju 10;21-010;Łęczna;lubelskie;Polska;1,2;NA
16091;M13076538503;17.03.2021;16.03.2022;260000;TAK;Śmiała 17a;08-110;Siedlce;mazowieckie;Polska;1,2;NA
16092;M1307655209;26.09.2021;25.09.2022;350000;TAK;Władysława Broniewskiego 95;01-876;Warszawa;mazowieckie;Polska;1,2;NA
16093;M13076992403;16.03.2021;15.03.2022;232000;TAK;Osiedle Poziomkowe 10A;62-002;Suchy Las;wielkopolskie;Polska;1,2;NA
16094;M1307730909;20.09.2021;19.09.2022;330000;TAK;Spokojna 233;43-376;Kalna;śląskie;Polska;1,2;NA
16095;M1307823009;28.09.2021;27.09.2022;330000;TAK;Wspólna 29;64-905;Stobno;wielkopolskie;Polska;1,2;NA
16096;M1307824209;30.09.2021;29.09.2022;519869;TAK;Bukowa 49;55-080;Smolec;dolnośląskie;Polska;1,2;NA
16097;M13078347903;25.03.2021;24.03.2022;260000;TAK;Jaroszowice 378;34-100;Jaroszowice;małopolskie;Polska;1,2;NA
16098;M13078355103;17.03.2021;16.03.2022;8,00E+05;TAK;Łąkowa 35;83-032;Skowarcz;pomorskie;Polska;1,2;NA
16099;M1307855609;12.11.2021;11.11.2022;540000;TAK;Szpitalna 6;63-300;Pleszew;wielkopolskie;Polska;1,2;NA
16100;M1307861209;15.09.2021;14.09.2022;240000;TAK;Bernardyńska 10;02-904;Warszawa;mazowieckie;Polska;1,2;NA
16101;M1307866709;17.09.2021;16.09.2022;5,00E+05;TAK;Brzeska 11;91-739;Łódź;łódzkie;Polska;1,2;NA
16102;M1307869309;18.10.2021;17.10.2022;560000;TAK;Batalionu AK Karpaty 1D;00-712;Warszawa;mazowieckie;Polska;1,2;NA
16103;M1307876409;28.08.2021;27.08.2022;810000;TAK;Nowoczesna 1;02-835;Warszawa;mazowieckie;Polska;1,2;NA
16104;M1307894309;04.09.2021;03.09.2022;330000;TAK;Kruszyn, ul. Jodłowa 3b;59-700;Bolesławiec Śląski;dolnośląskie;Polska;1,2;NA
16105;M1307897809;29.09.2021;28.09.2022;2,00E+05;TAK;Krasińskiego 53;74-101;Gryfino;zachodniopomorskie;Polska;1,2;NA
16106;M1307899009;22.08.2021;21.08.2022;340000;TAK;Tadeusza Kościuszki 24b;59-900;Zgorzelec;dolnośląskie;Polska;1,2;NA
16107;M1307902809;12.09.2021;11.09.2022;5,00E+05;TAK;Ks. Franciszka Okroya 27;80-297;Banino;pomorskie;Polska;1,2;NA
16108;M1307903709;29.09.2021;28.09.2022;63000;TAK;Reymonta 67;44-200;Rybnik;śląskie;Polska;1,2;NA
16109;M1307911409;08.10.2021;07.10.2022;320000;TAK;Kasztanowa 2;58-150;Strzegom;dolnośląskie;Polska;1,2;NA
16110;M13079232803;28.03.2021;27.03.2022;2,00E+05;TAK;Góry 4;24-120;Kazimierz Dolny;lubelskie;Polska;1,2;NA
16111;M13079236403;17.03.2021;16.03.2022;115000;TAK;Marii Rodziewiczówny 1;04-187;Warszawa;mazowieckie;Polska;1,2;NA
16112;M1307952009;28.09.2021;27.09.2022;90000;TAK;Nowopolska 11/114a;91-712;Łódź;łódzkie;Polska;1,2;NA
16113;M1308003409;05.09.2021;04.09.2022;1240000;TAK;Ludwika Rydygiera 11;01-793;Warszawa;mazowieckie;Polska;1,2;NA
16114;M13080079903;20.04.2021;19.04.2022;525000;TAK;Sulejkowska 50;04-157;Warszawa;mazowieckie;Polska;1,2;NA
16115;M1308057509;29.09.2021;28.09.2022;620000;TAK;Spokojna 14;89-100;Paterek;kujawsko-pomorskie;Polska;1,2;NA
16116;M1308060009;31.08.2021;30.08.2022;280000;TAK;Nike 6;80-299;Gdańsk;pomorskie;Polska;1,2;NA
16117;M1308097609;10.10.2021;09.10.2022;320000;TAK;Nowotarska 2;61-318;Poznań;wielkopolskie;Polska;1,2;NA
16118;M13081780203;01.04.2021;31.03.2022;659000;TAK;Jurajska 3;02-699;Warszawa;mazowieckie;Polska;1,2;NA
16119;M1308202009;26.09.2021;25.09.2022;2,00E+05;TAK;Kujota 2;87-100;Toruń;kujawsko-pomorskie;Polska;1,2;NA
16120;M1308202709;30.09.2021;29.09.2022;336600;TAK;Hołdu Pruskiego 15D;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;NA
16121;M13082313003;17.03.2021;16.03.2022;420000;TAK;płk. Witolda Łokuciewskiego 4a;01-470;Warszawa;mazowieckie;Polska;1,2;NA
16122;M1308251309;27.09.2021;26.09.2022;120000;TAK;Łączańska 2a;46-100;Namysłów;opolskie;Polska;1,2;NA
16123;M13082514003;17.03.2021;16.03.2022;170000;TAK;11 Listopada 12;88-192;Piechcin;kujawsko-pomorskie;Polska;1,2;NA
16124;M13082543303;21.03.2021;20.03.2022;320000;TAK;Stęszewska 31;64-320;Dobieżyn;wielkopolskie;Polska;1,2;NA
16125;M13082596703;17.03.2021;16.03.2022;630000;TAK;Wólka Cycowska 24c;21-070;Wólka Cycowska;lubelskie;Polska;1,2;NA
16126;M13082598903;25.03.2021;24.03.2022;2,00E+05;TAK;Żwirki i Wigury 5;86-105;Świecie;kujawsko-pomorskie;Polska;1,2;NA
16127;M13082601703;01.04.2021;31.03.2022;8,00E+05;TAK;Jarosława Dąbrowskiego 33;05-091;Ząbki;mazowieckie;Polska;1,2;NA
16128;M13082606903;18.04.2021;17.04.2022;386770;TAK;Żeglugi Wiślanej 10a;03-043;Warszawa;mazowieckie;Polska;1,2;NA
16129;M13082610103;21.04.2021;20.04.2022;250000;TAK;Dłużec 56A;11-710;Dłużec;warmińsko-mazurskie;Polska;1,2;NA
16130;M13082610803;17.04.2021;16.04.2022;270000;TAK;Marynarki Polskiej 2;80-557;Gdańsk;pomorskie;Polska;1,2;NA
16131;M13082618503;17.03.2021;16.03.2022;4,00E+05;TAK;Legionów 8c;82-300;Elbląg;warmińsko-mazurskie;Polska;1,2;NA
16132;M1308265409;30.09.2021;29.09.2022;150000;TAK;Stefana Batorego 8;59-900;Zgorzelec;dolnośląskie;Polska;1,2;NA
16133;M13082749303;17.03.2021;16.03.2022;250000;TAK;Piastów 70;31-625;Kraków;małopolskie;Polska;1,2;NA
16134;M1308317109;20.09.2021;19.09.2022;670000;TAK;Konstancińska 3b;02-942;Warszawa;mazowieckie;Polska;1,2;NA
16135;M13083281403;01.05.2021;30.04.2022;550000;TAK;Staniszów 3a;58-500;Staniszów;dolnośląskie;Polska;1,2;NA
16136;M13083285003;07.04.2021;06.04.2022;165000;TAK;Rosochy 6;27-400;Ostrowiec Świętokrzyski;świętokrzyskie;Polska;1,2;NA
16137;M13083291003;10.04.2021;09.04.2022;830000;TAK;Gocławska 9A;03-810;Warszawa;mazowieckie;Polska;1,2;NA
16138;M13083299903;16.03.2021;15.03.2022;360000;TAK;Stefana Okrzei 5;85-317;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;NA
16139;M13083305703;17.03.2021;16.03.2022;310000;TAK;Małopolska 56;70-514;Szczecin;zachodniopomorskie;Polska;1,2;NA
16140;M13083308903;20.03.2021;19.03.2022;3,00E+05;TAK;św. Bonifacego 16;74-320;Barlinek;zachodniopomorskie;Polska;1,2;NA
16141;M13083389603;10.04.2021;09.04.2022;305000;TAK;Jasna 14;44-238;Czerwionka-Leszczyny;śląskie;Polska;1,2;NA
16142;M13083400603;21.03.2021;20.03.2022;610000;TAK;Kwiatowa 36;84-100;Połczyno;pomorskie;Polska;1,2;NA
16143;M13084014303;23.03.2021;22.03.2022;290000;TAK;Kanałowa, działka 115/4;87-148;Łysomice;kujawsko-pomorskie;Polska;1,2;NA
16144;M13084339503;19.03.2021;18.03.2022;210000;TAK;Władysława Broniewskiego 47c;82-300;Elbląg;warmińsko-mazurskie;Polska;1,2;NA
16145;M13085579603;07.04.2021;06.04.2022;830000;TAK;Jasia i Małgosi 8;77-100;Rzepnica;pomorskie;Polska;1,2;NA
